Orchestration architecture,Orchestration algorithm,Edge devices count,Total tasks execution delay (s),Average execution delay (s),Total tasks waiting time (s),Average waiting time (s),Number of generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average CPU usage (%),Average CPU usage (Cloud) (%),Average CPU usage (Edge) (%),Average CPU usage (Mist) (%),Energy consumption of computing nodes (Wh),Average energy consumption (Wh/Computing node),Cloud energy consumption (Wh),Average Cloud energy consumption (Wh/Data center),Edge energy consumption (Wh),Average Edge energy consumption (Wh/Data center),Mist energy consumption (Wh),Average Mist energy consumption (Wh/Device),WAN energy consumption (Wh), MAN energy consumption (Wh), LAN energy consumption (Wh),WiFi energy consumption (Wh), LTE energy consumption (Wh), Ethernet energy consumption (Wh),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
CLOUD_ONLY,ROUND_ROBIN,100,1610,0.1586,0,0,10150,1799,0,8351,0,0,0,10150,1799,0,0,0,0,0.0,103.57327999998661,0.0,12712.000000000695,0.0,0.0,494.19684487838805,0.0206,1.2778,0,0,51.4158,0.5041,12.9158,12.9158,17.5,17.5,21,0.21,9.8021,0,0,9.8021,0,0,0,33.4626,98.997,-1.0,[98.92474346666667- 98.28560533333332- 98.28560533333332- 98.92474346666667- 98.92474346666667- 98.28560533333332- 98.92474346666667- 98.28560533333332- 98.28560533333332- 98.92474346666667- 98.92474346666667- 98.28560533333332- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.28560533333332- 99.04674702222223- 98.28560533333332- 98.28560533333332- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.28560533333332- 98.92474346666667- 99.04674702222223- 98.28560533333332- 99.04674702222223- 98.92474346666667- 98.28560533333332- 98.92474346666667- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502],[]
CLOUD_ONLY,ROUND_ROBIN,200,3220,0.1586,0,0,20300,2178,0,18122,0,0,0,20300,2178,0,0,0,0,0.0,207.31568000000829,0.0,25423.99999999934,0.0,0.0,485.7314420594942,0.0209,2.5556,0,0,85.3316,0.4224,25.8316,25.8316,17.5,17.5,42,0.21,19.6042,0,0,19.6042,0,0,0,33.471,99.0415,-1.0,[98.92474346666667- 98.92474346666667- 98.28560533333332- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.28560533333332- 98.28560533333332- 98.92474346666667- 99.04674702222223- 98.92474346666667- 99.04674702222223- 98.92474346666667- 99.04674702222223- 99.04674702222223- 98.28560533333332- 98.92474346666667- 99.04674702222223- 99.04674702222223- 98.92474346666667- 99.04674702222223- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.28560533333332- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.92474346666667- 99.04674702222223- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.28560533333332- 98.28560533333332- 98.28560533333332- 98.28560533333332- 98.92474346666667- 99.04674702222223- 98.92474346666667- 98.92474346666667- 98.28560533333332- 98.28560533333332- 98.92474346666667- 98.28560533333332- 98.92474346666667- 98.28560533333332- 98.28560533333332- 98.92474346666667- 98.92474346666667- 99.04674702222223- 98.28560533333332- 98.28560533333332- 99.04674702222223- 98.92474346666667- 98.28560533333332- 98.28560533333332- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502],[]
CLOUD_ONLY,ROUND_ROBIN,300,4830,0.1586,0,0,30450,3202,0,27248,0,0,0,30450,3202,0,0,0,0,0.0,310.4592800000471,0.0,38135.99999999743,0.0,0.0,483.6609306352094,0.0211,3.8333,0,0,119.2473,0.3949,38.7473,38.7473,17.5,17.5,63,0.21,29.4062,0,0,29.4062,0,0,0,33.4715,99.0445,-1.0,[98.28560533333332- 98.28560533333332- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.28560533333332- 98.92474346666667- 98.92474346666667- 98.92474346666667- 99.04674702222223- 98.92474346666667- 99.04674702222223- 98.92474346666667- 98.28560533333332- 98.92474346666667- 98.92474346666667- 99.04674702222223- 98.28560533333332- 98.92474346666667- 98.92474346666667- 98.28560533333332- 98.92474346666667- 98.92474346666667- 98.28560533333332- 98.92474346666667- 98.28560533333332- 98.92474346666667- 98.92474346666667- 98.28560533333332- 99.04674702222223- 98.28560533333332- 99.04674702222223- 99.04674702222223- 98.92474346666667- 99.04674702222223- 99.04674702222223- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.28560533333332- 98.28560533333332- 99.04674702222223- 98.28560533333332- 98.92474346666667- 98.28560533333332- 98.92474346666667- 98.28560533333332- 98.28560533333332- 98.28560533333332- 99.04674702222223- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.28560533333332- 99.04674702222223- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.28560533333332- 98.92474346666667- 98.92474346666667- 98.92474346666667- 99.04674702222223- 98.92474346666667- 99.04674702222223- 99.04674702222223- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.28560533333332- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.28560533333332- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.28560533333332- 98.28560533333332- 98.28560533333332- 99.04674702222223- 98.28560533333332- 98.28560533333332- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502],[]
EDGE_ONLY,ROUND_ROBIN,100,1595.3375,0.158,314.4625,0.0311,10150,8706,54,1390,0,0,0,0,0,10096,8706,0,0,78.8025846153703,0.0,78.8025846153703,12630.680000000717,0.0,0.0,1295.0747820919175,0.415,0,25.7312,0,44.5361,0.4366,0,0,23.8695,23.8695,20.6667,0.2067,0,0,8.4289,8.4289,0,0,0,33.4829,99.0985,-1.0,[98.93955828148148- 99.06156183703705- 98.94428905481482- 98.94428905481482- 98.94428905481482- 98.94428905481482- 98.94428905481482- 98.94428905481482- 98.31083429925927- 98.94428905481482- 98.94428905481482- 99.06156183703705- 98.30823076148148- 98.31083429925927- 98.31083429925927- 98.94428905481482- 98.94428905481482- 98.94428905481482- 98.31343783703704- 99.06156183703705- 99.0618606317037- 99.06205982814816- 98.94428905481482- 99.06196022992593- 98.94428905481482- 98.93955828148148- 98.94428905481482- 99.06166143525927- 98.94428905481482- 98.31604137481483- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
EDGE_ONLY,ROUND_ROBIN,200,3190.9625,0.1581,2614.7875,0.1296,20300,15218,122,4960,0,0,0,0,0,20178,15218,0,0,157.78726153846506,0.0,157.78726153846506,25252.529999999366,0.0,0.0,1295.1196848052334,0.4219,0,51.4671,0,71.8512,0.3557,0,0,30.5179,30.5179,41.3333,0.2067,0,0,16.8518,16.8518,0,0,0,33.4755,99.0591,-1.0,[98.94428905481482- 98.94428905481482- 98.94428905481482- 98.30042014814815- 98.94428905481482- 98.30042014814815- 98.94428905481482- 98.31604137481483- 98.94428905481482- 99.06156183703705- 98.94428905481482- 98.93955828148148- 98.94428905481482- 99.06156183703705- 98.94428905481482- 98.94428905481482- 98.94428905481482- 98.94428905481482- 99.0618606317037- 98.30302368592594- 98.31083429925927- 98.30823076148148- 99.06176103348149- 98.94428905481482- 98.30823076148148- 98.31083429925927- 98.30823076148148- 98.94428905481482- 98.30823076148148- 99.06196022992593- 98.3186449125926- 98.94428905481482- 98.94428905481482- 99.0618606317037- 99.06176103348149- 98.30562722370371- 98.94428905481482- 98.31604137481483- 98.94428905481482- 99.06156183703705- 98.30823076148148- 98.94428905481482- 98.94428905481482- 98.94428905481482- 98.94428905481482- 98.94428905481482- 99.06196022992593- 99.06196022992593- 98.30823076148148- 98.94428905481482- 98.30823076148148- 99.0618606317037- 98.31343783703704- 98.94428905481482- 99.0618606317037- 98.94428905481482- 98.31343783703704- 98.94428905481482- 98.94428905481482- 99.06205982814816- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
EDGE_ONLY,ROUND_ROBIN,300,4787.45,0.1581,10310.5375,0.3405,30450,15513,166,14771,0,0,0,0,0,30284,15513,0,0,236.18036923089645,0.0,236.18036923089645,37882.88999999739,0.0,0.0,1293.9151036851142,0.4243,0,77.2169,0,99.1699,0.3284,0,0,37.1699,37.1699,62,0.2067,0,0,25.2803,25.2803,0,0,0,33.4776,99.0698,-1.0,[98.94428905481482- 98.94428905481482- 98.31083429925927- 98.31604137481483- 98.93955828148148- 98.30302368592594- 99.0618606317037- 98.94428905481482- 98.94428905481482- 98.94428905481482- 98.30562722370371- 98.94428905481482- 98.94428905481482- 98.31343783703704- 98.94428905481482- 98.94428905481482- 98.94428905481482- 99.0618606317037- 99.06196022992593- 99.06166143525927- 98.94428905481482- 99.06176103348149- 98.31604137481483- 98.94428905481482- 98.94428905481482- 99.06176103348149- 98.94428905481482- 98.93955828148148- 98.30562722370371- 98.93955828148148- 98.94428905481482- 98.94428905481482- 98.94428905481482- 99.06176103348149- 98.31604137481483- 98.94428905481482- 98.94428905481482- 98.31343783703704- 99.06176103348149- 98.94428905481482- 98.94428905481482- 98.94428905481482- 98.94428905481482- 99.06176103348149- 98.94428905481482- 98.94428905481482- 98.93955828148148- 98.94428905481482- 98.94428905481482- 99.06166143525927- 98.94428905481482- 98.30302368592594- 98.93955828148148- 98.31343783703704- 99.06196022992593- 98.30823076148148- 99.06196022992593- 98.94428905481482- 98.94428905481482- 98.30562722370371- 98.94428905481482- 98.94428905481482- 98.94428905481482- 98.31604137481483- 98.94428905481482- 98.31604137481483- 98.3186449125926- 98.94428905481482- 99.06156183703705- 98.93955828148148- 99.06166143525927- 98.30562722370371- 98.94428905481482- 98.30302368592594- 98.94428905481482- 98.30302368592594- 98.94428905481482- 98.30823076148148- 98.31343783703704- 98.93955828148148- 99.06176103348149- 98.94428905481482- 98.30042014814815- 98.31343783703704- 99.06166143525927- 98.94428905481482- 98.93955828148148- 98.3186449125926- 99.06156183703705- 98.94428905481482- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
MIST_ONLY,ROUND_ROBIN,100,4546.375,0.7332,0,0,10150,2824,2065,3377,0,1884,0,0,0,0,0,8085,2824,41.705969230767295,0.0,41.705969230767295,6642.290000000373,0.0,0.0,1285.0975609756097,1.9553,0,0,2.0205,39.3485,0.3858,0,0,17.5,17.5,21.8485,0.2185,0,0,6.2021,6.2021,0,0,0,33.4236,98.8654,-1.0,[98.9770555757037- 98.96028516770372- 98.09094820118517- 99.00277777777778- 99.06223962340742- 98.99665776296297- 98.98758232592593- 99.05794419762964- 98.98313819466667- 98.95637782725926- 97.53246368592595- 98.97061150222224- 97.16086032118518- 97.84549786962964- 98.5895439437037- 98.75666539762965- 98.83921489481482- 97.4896243682963- 97.36061190814814- 97.44157443851851- 98.99035038222223- 98.2784333362963- 98.56891377481482- 98.95994464- 97.21931134222224- 99.02555155555557- 99.00416236444447- 99.0601833774815- 98.69935341155555- 98.9050105125926- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.45066836195136- 99.47064056939502- 99.3866637010676- 99.11351573398576- 99.45229234578886- 99.44101759786476- 99.41353255931197- 99.47064056939502- 99.17441085409254- 99.4015203024911- 99.47064056939502- 99.46581175860024- 99.25099008451957- 99.47064056939502- 99.47064056939502- 99.32252571174378- 98.85701742793594],[]
MIST_ONLY,ROUND_ROBIN,200,9231.8,0.6743,0,0,20300,6777,2486,6914,0,4123,0,0,0,0,0,17814,6777,98.48412307690718,0.0,98.48412307690718,15583.830000000988,0.0,0.0,1257.2461437127506,1.924,0,0,1.956,61.5041,0.3045,0,0,17.5,17.5,44.0041,0.22,0,0,14.5511,14.5511,0,0,0,33.3925,98.7544,-1.0,[98.48927234962963- 99.05527075200001- 98.68532911140743- 99.03544182696297- 98.52591210666668- 98.93651961155555- 97.52928666755555- 98.69814066785185- 97.84824317925927- 99.00691573422223- 97.89695037333334- 98.9643850817778- 96.45830419555557- 98.98621155851853- 98.75489749955557- 98.55270261925926- 98.71146325925926- 97.41949063437039- 98.77491672740743- 98.80895803555555- 99.04728395555557- 97.77641831111112- 98.62812874962964- 98.45546679111112- 98.12237871703705- 97.50653025866669- 98.78849548088888- 96.80240802962966- 98.70062127733333- 98.90317565125928- 97.0676241451852- 98.63696660148149- 99.00217232237038- 98.52694668177777- 97.19764341629632- 99.0407508162963- 97.9925326014815- 98.11245048296297- 99.02488033777779- 98.92678279703705- 98.63000172444444- 99.0081553517037- 98.55659540977777- 98.87644569066666- 97.17183512296297- 99.02488033777779- 98.88189458162964- 98.42974655703705- 98.91492996148149- 98.54007429155557- 98.41174212444444- 97.43898283555555- 98.99725637333334- 97.3614954894815- 98.91646864503706- 98.65030192592593- 98.78634739555555- 96.53076797451854- 98.51774038222221- 98.16073849481482- 99.23379882117437- 99.31769690094899- 99.47064056939502- 99.47034995432978- 99.08971964116252- 99.26301154744958- 99.47064056939502- 99.14924231301897- 99.45722950771055- 99.47064056939502- 99.43706961195136- 99.46543518623962- 99.20884928959075- 99.4011143505338- 98.76336785587188- 98.59338327846976- 99.39304640272836- 99.4438184460261- 98.85717393238434- 99.32252571174378- 99.4657034074733- 98.69511020462633- 99.149635595344- 99.32252571174378- 99.47043940346974- 99.4539077772835- 99.47064056939502- 99.46250448324436- 99.37683449288257- 99.47064056939502- 99.17420968816727- 99.32252571174378- 99.4670195827402- 99.44101759786476- 99.45260192170818- 99.35194570729536- 99.46833829507709- 99.3472115213523- 99.30006741548043- 99.29514548487545],[]
MIST_ONLY,ROUND_ROBIN,300,13869.025,0.649,0,0,30450,9800,2208,11569,0,6873,0,0,0,0,0,28242,9800,176.95341538464587,0.0,176.95341538464587,27501.080000001457,0.0,0.0,1240.057981581303,1.9727,0,0,1.9946,84.0204,0.2782,0,0,17.5,17.5,66.5204,0.2217,0,0,25.6787,25.6787,0,0,0,33.3674,98.6688,-1.0,[98.85194990044444- 98.3165098311111- 98.74981992177779- 98.78445915822222- 98.73044778370371- 98.91004877333334- 97.49693205659261- 98.96638288385186- 98.90265781629631- 98.21796247703703- 97.4578864894815- 97.38857652977778- 98.00672244444445- 98.98604375407409- 98.29391556740741- 98.71050686933334- 98.67805731555556- 98.92270208474073- 98.92265267555555- 98.39511244533333- 98.39387991407408- 98.21629797629629- 96.49370332562965- 98.32964384829629- 97.41981634459259- 98.21399721362963- 98.54883018725927- 98.32674851851851- 98.73849787585186- 98.38405739585185- 98.8739291937778- 98.98066925777778- 98.72255607111111- 97.01594423733334- 98.85075667555557- 98.91075098014817- 98.74724410222223- 98.71681839555556- 98.93185973866667- 97.92429029214816- 98.69951038518519- 98.72264217481482- 98.06211116444445- 98.24358709925926- 98.93795683851853- 96.76190992000004- 98.2577923517037- 98.77619511348149- 98.8157038162963- 96.71354703970371- 97.35121525185187- 98.41377550814815- 98.7514914957037- 97.42075437629629- 98.52639333274075- 98.30968074074075- 98.72533079111112- 98.95005622814814- 98.58940021333335- 98.81892864029632- 98.8611110882963- 97.81535516000001- 99.03762713570372- 98.87115988770371- 96.91189021333334- 97.61243443911111- 98.81919222222223- 98.28498150844445- 98.79720709925927- 99.0559419288889- 98.34869565333334- 98.90852957985186- 97.81771410696297- 97.59991942814816- 99.03902022637038- 98.680309056- 97.95155528029628- 98.24395306874074- 97.42491892740742- 98.72535021037038- 98.66910413037039- 96.6557961792593- 96.26749988829633- 98.56846662814816- 98.84068851851852- 98.51610734222224- 98.18659583703703- 98.3716055851852- 95.53791817481483- 96.89035304296299- 99.31227763048636- 99.38619194483987- 99.4556328047153- 99.23923285957888- 99.32252571174378- 99.40247544172597- 99.46230450978646- 99.43031112099644- 99.45341509252668- 99.32252571174378- 99.17441085409254- 99.46282636565836- 99.46332624095493- 98.84376287069988- 99.15552482206405- 99.23841473279951- 99.45632634786477- 99.30748013804863- 99.10006281020165- 99.19559724807236- 99.47037234816132- 99.21666333333333- 99.28516634934756- 99.47064056939502- 99.07877799377223- 99.4657034074733- 99.46487125444838- 98.95914182028469- 99.12528875934164- 99.02575797301304- 99.31718621797154- 99.09012898131672- 99.38475697212337- 98.70177497701661- 99.45260192170818- 99.4701487884045- 99.45616924718269- 98.83957024985173- 99.2330225- 99.30780915836299- 98.83059037811388- 98.87999426749703- 99.15340457606762- 99.44217631183274- 99.43047349644128- 99.17441085409254- 99.42007144572953- 99.28302841637012- 99.19409854982207- 99.4705735140866- 99.19717856761567- 99.35323452402135- 99.23338857591934- 98.9584421073547- 99.44101759786476- 99.17441085409254- 98.88569254596679- 99.12003501764532- 99.23859395907472- 98.85717393238434],[]
MIST_AND_CLOUD,ROUND_ROBIN,100,4312.025,0.4394,0,0,10150,6974,0,2839,0,337,0,4358,4358,0,0,5792,2616,23.321784615383812,47.362880000001816,23.321784615383812,9493.46000000099,0.0,0.0,808.9951236925524,1.5145,0.5905,0,1.5552,44.4214,0.4355,5.8743,5.8743,17.2222,17.2222,21.3249,0.2132,4.4716,0,3.4516,7.9232,0,0,0,33.4519,99.0002,-1.0,[98.67667980148148- 98.81306532296297- 98.68547049777779- 99.05996923200001- 98.29684308474073- 99.0628706094815- 98.63314633896297- 97.43980616800002- 98.93662442222222- 98.15387912296296- 99.00614429037039- 98.95270337866667- 98.79321416888891- 99.07722222222223- 98.69492103703703- 98.04233873185186- 98.99825920592593- 98.81456153777778- 98.99135321481484- 99.01897717925927- 99.04314814814815- 97.48172533925926- 98.9851184414815- 98.7886008237037- 99.07698731644444- 98.9951724325926- 99.06836292444446- 98.66156474962963- 98.81530963377777- 99.04314814814815- 99.19955698334321- 99.47699821124951- 99.47904310003955- 99.41979715697904- 99.47904310003955- 99.23794919879398- 99.47904310003955- 99.3309282423883- 99.47904310003955- 99.39521969849741- 98.86544235241202- 99.47495332245947- 99.47904310003955- 99.47904310003955- 99.46881865608937- 99.46545580333135- 99.3309282423883- 99.41859959618427- 99.47904310003955- 99.46509422993277],[]
