Orchestration architecture,Orchestration algorithm,Edge devices count,Total tasks execution delay (s),Average execution delay (s),Total tasks waiting time (s),Average waiting time (s),Number of generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average CPU usage (%),Average CPU usage (Cloud) (%),Average CPU usage (Edge) (%),Average CPU usage (Mist) (%),Energy consumption of computing nodes (Wh),Average energy consumption (Wh/Computing node),Cloud energy consumption (Wh),Average Cloud energy consumption (Wh/Data center),Edge energy consumption (Wh),Average Edge energy consumption (Wh/Data center),Mist energy consumption (Wh),Average Mist energy consumption (Wh/Device),WAN energy consumption (Wh), MAN energy consumption (Wh), LAN energy consumption (Wh),WiFi energy consumption (Wh), LTE energy consumption (Wh), Ethernet energy consumption (Wh),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
CLOUD_ONLY,ROUND_ROBIN,100,1610,0.1586,0,0,10150,1836,0,8314,0,0,0,10150,1836,0,0,0,0,0.0,103.72175999998635,0.0,12712.000000000698,0.0,0.0,494.04208960276924,0.0206,1.2778,0,0,51.4158,0.5041,12.9158,12.9158,17.5,17.5,21,0.21,9.8021,0,0,9.8021,0,0,0,33.4769,99.0731,-1.0,[98.92474346666667- 98.28560533333332- 98.28560533333332- 99.04674702222223- 98.28560533333332- 99.04674702222223- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.28560533333332- 99.04674702222223- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.92474346666667- 99.04674702222223- 99.04674702222223- 98.28560533333332- 98.28560533333332- 98.92474346666667- 98.28560533333332- 99.04674702222223- 99.04674702222223- 98.92474346666667- 99.04674702222223- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.92474346666667- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502],[]
CLOUD_ONLY,ROUND_ROBIN,200,3220,0.1586,0,0,20300,2175,0,18125,0,0,0,20300,2175,0,0,0,0,0.0,207.76384000000792,0.0,25423.999999999334,0.0,0.0,485.7770246277434,0.0209,2.5556,0,0,85.3316,0.4224,25.8316,25.8316,17.5,17.5,42,0.21,19.6042,0,0,19.6042,0,0,0,33.4684,99.0275,-1.0,[98.92474346666667- 99.04674702222223- 98.28560533333332- 98.28560533333332- 99.04674702222223- 98.28560533333332- 99.04674702222223- 99.04674702222223- 98.92474346666667- 98.92474346666667- 99.04674702222223- 98.92474346666667- 98.92474346666667- 98.92474346666667- 99.04674702222223- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.92474346666667- 99.04674702222223- 98.28560533333332- 98.28560533333332- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.28560533333332- 98.92474346666667- 98.28560533333332- 98.28560533333332- 98.92474346666667- 99.04674702222223- 98.28560533333332- 98.28560533333332- 98.92474346666667- 98.28560533333332- 98.28560533333332- 98.92474346666667- 98.28560533333332- 99.04674702222223- 98.28560533333332- 98.28560533333332- 98.92474346666667- 98.92474346666667- 98.28560533333332- 98.92474346666667- 98.92474346666667- 98.28560533333332- 99.04674702222223- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.28560533333332- 98.28560533333332- 98.92474346666667- 98.28560533333332- 98.92474346666667- 98.92474346666667- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502],[]
CLOUD_ONLY,ROUND_ROBIN,300,4830,0.1586,0,0,30450,3204,0,27246,0,0,0,30450,3204,0,0,0,0,0.0,311.33544000004497,0.0,38135.99999999731,0.0,0.0,482.7754940328782,0.0211,3.8333,0,0,119.2473,0.3949,38.7473,38.7473,17.5,17.5,63,0.21,29.4062,0,0,29.4062,0,0,0,33.4739,99.0571,-1.0,[98.92474346666667- 99.04674702222223- 98.92474346666667- 99.04674702222223- 99.04674702222223- 98.92474346666667- 98.92474346666667- 98.28560533333332- 98.92474346666667- 98.92474346666667- 99.04674702222223- 98.28560533333332- 98.28560533333332- 98.92474346666667- 98.92474346666667- 98.28560533333332- 98.92474346666667- 98.28560533333332- 98.92474346666667- 98.92474346666667- 98.92474346666667- 99.04674702222223- 98.92474346666667- 98.92474346666667- 98.28560533333332- 99.04674702222223- 98.28560533333332- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.92474346666667- 99.04674702222223- 98.28560533333332- 98.92474346666667- 99.04674702222223- 98.92474346666667- 99.04674702222223- 98.92474346666667- 98.92474346666667- 98.28560533333332- 98.92474346666667- 98.92474346666667- 99.04674702222223- 98.28560533333332- 99.04674702222223- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.28560533333332- 99.04674702222223- 98.28560533333332- 98.28560533333332- 99.04674702222223- 98.28560533333332- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.28560533333332- 98.28560533333332- 98.28560533333332- 98.92474346666667- 98.92474346666667- 98.92474346666667- 99.04674702222223- 98.92474346666667- 98.92474346666667- 98.92474346666667- 98.28560533333332- 98.92474346666667- 98.92474346666667- 98.92474346666667- 99.04674702222223- 98.28560533333332- 98.92474346666667- 99.04674702222223- 99.04674702222223- 98.28560533333332- 98.92474346666667- 98.28560533333332- 98.28560533333332- 98.92474346666667- 99.04674702222223- 98.92474346666667- 98.92474346666667- 99.04674702222223- 99.04674702222223- 98.28560533333332- 98.28560533333332- 98.92474346666667- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502- 99.47064056939502],[]
EDGE_ONLY,ROUND_ROBIN,100,1596.3,0.1581,267.575,0.0265,10150,9306,55,789,0,0,0,0,0,10095,9306,0,0,78.78369230767812,0.0,78.78369230767812,12622.010000000726,0.0,0.0,1295.5894006934125,0.4153,0,25.7468,0,44.5401,0.4367,0,0,23.8735,23.8735,20.6667,0.2067,0,0,8.4229,8.4229,0,0,0,33.4701,99.03,-1.0,[98.30042014814815- 98.31604137481483- 98.94428905481482- 98.30302368592594- 99.0618606317037- 98.94428905481482- 98.94428905481482- 98.31343783703704- 98.94428905481482- 98.31343783703704- 98.30562722370371- 98.31083429925927- 99.06156183703705- 98.94428905481482- 98.94428905481482- 98.94428905481482- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.94428905481482- 98.31343783703704- 98.94428905481482- 98.94428905481482- 99.06156183703705- 98.31343783703704- 98.94428905481482- 98.30302368592594- 99.0618606317037- 98.30823076148148- 98.94428905481482- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
EDGE_ONLY,ROUND_ROBIN,200,3195.1625,0.1582,2677.4375,0.1326,20300,15338,107,4855,0,0,0,0,0,20193,15338,0,0,157.62301538461855,0.0,157.62301538461855,25285.269999999324,0.0,0.0,1295.429109097212,0.4224,0,51.5349,0,71.8687,0.3558,0,0,30.5354,30.5354,41.3333,0.2067,0,0,16.8737,16.8737,0,0,0,33.4793,99.079,-1.0,[98.30302368592594- 98.94428905481482- 99.06156183703705- 99.06196022992593- 98.93955828148148- 98.30562722370371- 98.94428905481482- 98.94428905481482- 98.3186449125926- 98.93955828148148- 99.06196022992593- 98.94428905481482- 98.94428905481482- 98.94428905481482- 98.94428905481482- 98.31083429925927- 98.94428905481482- 99.06196022992593- 98.30042014814815- 99.06156183703705- 99.06205982814816- 98.93955828148148- 98.94428905481482- 98.30302368592594- 98.94428905481482- 98.94428905481482- 98.94428905481482- 99.06196022992593- 98.94428905481482- 99.06166143525927- 98.30562722370371- 98.94428905481482- 98.31083429925927- 98.94428905481482- 99.06166143525927- 98.94428905481482- 98.94428905481482- 99.0618606317037- 98.30302368592594- 99.06166143525927- 99.06196022992593- 98.31604137481483- 98.30823076148148- 98.93955828148148- 98.94428905481482- 98.94428905481482- 99.0618606317037- 98.94428905481482- 98.94428905481482- 98.31343783703704- 98.30302368592594- 98.93955828148148- 98.31604137481483- 98.94428905481482- 98.93955828148148- 98.94428905481482- 99.0618606317037- 98.30562722370371- 98.94428905481482- 98.94428905481482- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
EDGE_ONLY,ROUND_ROBIN,300,4787.825,0.1581,11899.875,0.393,30450,14138,168,16144,0,0,0,0,0,30282,14138,0,0,236.32141538474448,0.0,236.32141538474448,37880.939999997194,0.0,0.0,1294.0542236312,0.4243,0,77.223,0,99.1715,0.3284,0,0,37.1715,37.1715,62,0.2067,0,0,25.2789,25.2789,0,0,0,33.4755,99.0587,-1.0,[98.94428905481482- 99.06176103348149- 98.30302368592594- 98.94428905481482- 98.3186449125926- 98.93955828148148- 98.94428905481482- 98.94428905481482- 98.94428905481482- 99.06196022992593- 98.94428905481482- 99.06196022992593- 98.30823076148148- 98.94428905481482- 98.93955828148148- 98.30042014814815- 98.94428905481482- 98.31083429925927- 98.94428905481482- 98.94428905481482- 99.06176103348149- 98.94428905481482- 98.94428905481482- 98.94428905481482- 98.94428905481482- 98.94428905481482- 98.94428905481482- 98.94428905481482- 98.3186449125926- 98.31083429925927- 98.94428905481482- 98.94428905481482- 98.94428905481482- 98.94428905481482- 98.3186449125926- 98.31604137481483- 98.30562722370371- 98.3186449125926- 98.94428905481482- 98.94428905481482- 98.94428905481482- 98.30823076148148- 98.30302368592594- 98.30562722370371- 99.06156183703705- 99.0618606317037- 98.94428905481482- 99.06166143525927- 98.30823076148148- 99.06196022992593- 98.94428905481482- 98.94428905481482- 98.94428905481482- 98.94428905481482- 98.31083429925927- 99.06156183703705- 99.06156183703705- 98.94428905481482- 98.94428905481482- 98.30042014814815- 98.30562722370371- 98.94428905481482- 98.94428905481482- 99.06156183703705- 99.06166143525927- 98.30562722370371- 99.06166143525927- 99.06166143525927- 98.94428905481482- 98.31083429925927- 99.06166143525927- 98.94428905481482- 98.30042014814815- 98.94428905481482- 98.31343783703704- 99.0618606317037- 98.94428905481482- 98.93955828148148- 98.94428905481482- 99.06166143525927- 98.94428905481482- 98.30823076148148- 98.31083429925927- 98.31083429925927- 99.06176103348149- 98.94428905481482- 99.06196022992593- 98.31604137481483- 98.30823076148148- 98.93955828148148- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
MIST_ONLY,ROUND_ROBIN,100,3330.725,0.6664,0,0,10150,3227,459,1771,0,4693,0,0,0,0,0,9691,3227,49.54763076922834,0.0,49.54763076922834,7958.800000000528,0.0,0.0,1284.8796857720326,1.3365,0,0,1.3811,38.5218,0.3777,0,0,17.2222,17.2222,21.2995,0.213,0,0,7.4314,7.4314,0,0,0,33.3932,98.7062,-1.0,[98.49052115437037- 97.26604173925926- 98.78172788592593- 97.46497485925926- 97.21580903911112- 99.00832012266669- 97.28538792592593- 98.4792820325926- 97.51876607703704- 99.01964839703706- 98.73702775703704- 97.42733426666666- 98.94867347674074- 96.55288240533335- 98.69256667851852- 97.56191619111111- 97.71596260148146- 97.92320965037038- 96.84971007111112- 98.77843031703705- 98.72542239555555- 98.65397102814815- 98.87944266666666- 99.02722560592593- 99.07428033037037- 98.8239432871111- 99.07413490666669- 98.65929832681482- 98.33973195851853- 98.90686240592593- 99.35738140519969- 99.422882268189- 99.31331752767892- 99.38209388058522- 99.44333115608936- 99.4377412349743- 99.42491192566231- 99.42691794582838- 99.45317501729933- 99.46833662317121- 99.406134169138- 99.39629871391855- 99.44705558224595- 99.44661539126137- 99.37222126359234- 99.26832288992684- 99.41549599742982- 98.82945740846185- 99.28002422993278- 99.43459087643336],[]
MIST_ONLY,ROUND_ROBIN,200,7267,0.6587,0,0,20300,4845,301,6188,0,8966,0,0,0,0,0,19999,4845,122.8007384615139,0.0,122.8007384615139,19602.12000000079,0.0,0.0,1277.270053092266,1.7115,0,0,1.74,61.0845,0.3024,0,0,17.5,17.5,43.5845,0.2179,0,0,18.3032,18.3032,0,0,0,33.3704,98.5975,-1.0,[98.32692598311111- 98.4740768888889- 96.9549932562963- 94.25754778962963- 97.2081879768889- 98.02444494222222- 97.43760125333334- 95.82259943407408- 98.81445162044446- 97.25647543407409- 99.05617687555555- 98.97048175111111- 97.0577700651852- 96.14131558281481- 98.16665538962963- 97.45035146666666- 98.41879021481482- 98.74527940148148- 98.03895619555556- 98.99715946666667- 98.74062348444444- 98.94241963111112- 98.5398160314074- 97.40642247111111- 97.00892172148149- 98.5115184888889- 97.45298825807409- 99.05791065718519- 98.54889395555556- 97.49924217481482- 98.98252616592593- 95.92415187259262- 98.65681404888889- 98.55752793185187- 98.46474314281483- 99.01886016711113- 97.2136588014815- 98.74417502222224- 97.50306274370371- 99.0576310308148- 97.05059295999999- 98.85840945985187- 99.05660192562964- 98.65522278222222- 98.32857316325926- 99.0442257368889- 97.46427680592593- 98.96288615200001- 98.75281315555556- 98.72218472622222- 98.76822367762963- 98.89478015703703- 98.98881413333334- 98.99102160000001- 98.78246797333334- 97.55793715851851- 98.99581703111112- 95.75635352296297- 98.63593037925926- 97.8426622488889- 99.41344755886713- 99.34406726571768- 99.42671860765124- 99.44513577105576- 99.4498636982503- 99.43982777446618- 99.29705414042112- 99.43995890717676- 99.41340879344602- 99.41365919780546- 99.42907754240807- 99.40878831109134- 99.44026824999999- 99.3279568253262- 99.45905816132858- 99.39767071322657- 99.38509695432977- 99.28148761714117- 99.3403512455516- 99.41632131524318- 98.76537896945433- 99.09610636565836- 98.80463858644723- 99.44764952846975- 99.45855386076512- 99.41766803084222- 99.34072976126926- 99.46065440258008- 99.4225595769573- 99.44261890954924- 99.42730485765125- 99.42113662455516- 99.41665808763345- 99.43502174525504- 98.8167154688612- 99.42008564249703- 99.43155431939502- 99.43473583793002- 99.43332392763938- 99.32791340732501],[]
MIST_ONLY,ROUND_ROBIN,300,13280.525,0.7108,0,0,30450,8336,138,10348,0,11628,0,0,0,0,0,30312,8336,191.87507692312647,0.0,191.87507692312647,29979.780000001094,0.0,0.0,1256.0016501650196,2.1056,0,0,2.129,83.7502,0.2773,0,0,17.5,17.5,66.2502,0.2208,0,0,27.9931,27.9931,0,0,0,33.3656,98.6112,-1.0,[97.25897763851852- 98.56376681777778- 98.95865784800002- 98.47375183999999- 97.25072812444445- 97.21991728592593- 97.07234147555556- 98.73179182222223- 97.98614716444445- 98.95333258103705- 98.88071328000001- 98.25724791200001- 99.0004439934815- 98.4383066162963- 98.25931689777777- 96.91332038992594- 98.65767173333333- 98.77336504503704- 96.8171832660741- 97.70118511703703- 99.00473667555558- 98.05432816918518- 98.99572012444446- 97.56762401481481- 97.15361535111111- 98.79086131555556- 98.23012800414814- 98.75139050074074- 98.18417382222223- 98.74950195555556- 98.7484824888889- 98.79666817866666- 97.44528513540742- 98.64360551703706- 94.11531059822221- 99.0127951365926- 98.38838536592593- 97.15131850133334- 98.86508053125928- 98.37196426459259- 98.29603101362964- 98.69078405125926- 98.21794101333334- 99.05552809985184- 97.67612494814814- 98.36057099851853- 98.93142384977779- 97.46538498162964- 98.72505286518518- 98.92584618251853- 98.63421102222223- 97.33151972651854- 98.96264737303704- 98.6590618085926- 98.57033672- 97.47849330962964- 98.77640767318519- 98.7330112482963- 98.97375662222224- 98.39698913185185- 98.98891104- 95.06458369777779- 98.77274437985186- 98.75675440000002- 99.00617601777779- 98.29713329481483- 97.21506922074074- 97.46503093333335- 99.00272302222224- 99.03932653422224- 98.37901475644445- 97.09401438814815- 98.53024232207409- 97.3752454251852- 98.8594091288889- 98.27054434666667- 98.44820395703704- 98.98401870222224- 98.062248152- 99.05430885037038- 98.91633445066668- 99.05433121066666- 99.00061246222224- 97.35597534607409- 92.60471358222222- 98.20262843496297- 96.89656497451855- 96.01351030518519- 97.62007059851851- 98.95959565570371- 99.26059556494663- 99.14446822508897- 99.20184543623962- 99.43992836892053- 99.42899447568207- 99.40401533466785- 99.36093933956109- 99.24978763790035- 99.44476545492289- 99.3377450059312- 99.37516067067023- 99.42805570596084- 99.42967320077106- 99.38683066725979- 99.27357392793594- 99.12929138790035- 99.41733321767497- 99.28810752372479- 99.28075691429419- 99.42872128973903- 99.41585342852906- 99.39768061135824- 99.25292175563463- 99.20384520017794- 99.32680827105575- 99.40814362069987- 99.26699191177343- 99.38536719454329- 99.10590781420522- 99.39865595699881- 98.83832565628707- 98.64595071367141- 99.43713014946619- 98.77586899021352- 99.26356689442467- 99.38241471189205- 99.10252634564056- 99.44134265124555- 99.44394801467972- 99.26214060394423- 99.38259035943061- 99.41529665925268- 99.45705705071175- 99.35671391963227- 99.44580283229537- 99.28950228944247- 99.38157477921115- 99.40618833941281- 99.4277054274911- 99.27380235290629- 98.72507470937128- 99.40580981909845- 99.23683495255041- 99.40742036951364- 99.43622758007118- 99.32392114768683- 99.40659413552787- 99.42559891607354- 99.24429531079477- 99.41918425771057],[]
MIST_AND_CLOUD,ROUND_ROBIN,100,3837.6,0.4133,0,0,10150,7595,0,1691,0,864,0,4750,4750,0,0,5400,2845,19.476246153845324,48.48944000000178,19.476246153845324,9085.410000000964,0.0,0.0,755.951805947983,1.3028,0.5514,0,1.337,43.9754,0.4311,5.4852,5.4852,17.2222,17.2222,21.268,0.2127,4.6047,0,2.9141,7.5188,0,0,0,33.4607,99.0561,-1.0,[98.76020669274075- 99.03624215703705- 99.02722560592593- 98.75214393185185- 98.83658012444444- 98.81753150785185- 98.90245577481483- 99.07579042725926- 98.80822883555555- 98.81112282370371- 99.01298870785187- 98.47015670814814- 99.0065076325926- 98.82991181333334- 98.75731423407409- 99.0306786014815- 98.79681700148149- 99.0267922877037- 99.00372585481483- 99.0766405682963- 99.02722560592593- 99.07587990933334- 99.01820905481482- 97.5055389688889- 99.02967001985185- 98.83741914666668- 98.55813278814816- 98.90245577481483- 98.53853668148147- 98.80380933925926- 99.47819364867536- 99.39311209618425- 99.44211842032422- 99.40800145116647- 99.46916877619613- 99.46423161427441- 99.26682129398971- 99.39461227100631- 99.46497754843811- 98.77150997503954- 99.28163277975484- 99.44445185715698- 99.32609943159352- 99.4592944523527- 99.38364189289244- 99.39666406534204- 99.4290169345591- 99.45836084914986- 99.47819364867537- 99.45930968366942],[]
MIST_AND_CLOUD,ROUND_ROBIN,200,8677.05,0.5236,0,0,20300,11534,0,5038,0,3728,0,4592,4592,0,0,15708,6942,89.26375384613794,40.82712000000241,89.26375384613794,19102.0100000006,0.0,0.0,1014.305067806434,1.7729,0.5627,0,1.7978,67.078,0.3321,5.6878,5.6878,17.5,17.5,43.8902,0.2195,3.8625,0,13.1483,17.0108,0,0,0,33.4031,98.8323,-1.0,[98.67522771555555- 98.33555662222224- 98.36408545777778- 98.58761546962963- 98.64997702814816- 98.718820216- 99.00205180444445- 97.18598529481483- 98.99025347555556- 99.05929773155556- 98.78555786666668- 98.98478682666668- 97.54280188385187- 97.49114664296297- 98.97723147407409- 98.98478682666668- 97.9434423851852- 98.83601582933335- 98.70731201481482- 99.00138058666668- 98.99994124444446- 98.76366522103704- 99.00128368000001- 99.05555046014817- 99.00962901333335- 98.12643164148147- 98.43750241185187- 99.00617601777779- 98.51612891259259- 99.00061246222224- 98.3173124088889- 98.2560426074074- 99.00751845333333- 98.70014029037037- 98.30695617185187- 98.9938033777778- 98.48479260444445- 96.93099261925929- 97.47729439674075- 97.54084448592592- 97.53218642903704- 98.67178900148149- 98.29907090666667- 98.4740763111111- 98.79031184000002- 97.72533021037034- 98.75775180592595- 98.43315885037038- 98.80110063940741- 98.06952546666668- 98.99715946666667- 99.0545996568889- 98.42798569777779- 99.00339424000002- 98.86933957274074- 98.81500095762964- 98.20894340148148- 98.99715946666667- 98.99859880888889- 98.38197372325926- 99.40004883451957- 99.41144722123369- 99.45582908362988- 99.43117373665481- 99.40273828291816- 99.26051235157176- 99.36370763790035- 98.78556395610914- 98.80613374228945- 99.42137820759193- 99.29098135824438- 99.42268300563464- 99.43126678084222- 99.24702280011861- 99.40701565391458- 99.43826413849348- 99.34812130634637- 98.78274949584817- 98.76711990005931- 99.4368995303974- 99.37579007799525- 98.67432650355872- 99.2627854526987- 98.81134067022539- 99.40680592823252- 99.41928542956703- 99.43908098457888- 99.3884029386121- 99.4066503024911- 99.40370392941874- 99.32464106998815- 99.44141341192169- 99.39753714412811- 99.40662666518386- 99.42478199436536- 98.81222781020165- 99.38862965302492- 99.38477414220047- 99.24506405367735- 99.44326388196916],[]
